nave_x,nave_y,jugador_x,jugador_y,bala_x,bala_y,velocidad_bala,saltar,colision
700,300,50,300,743,310,-7,0,0
700,300,50,300,736,310,-7,0,0
700,300,50,300,729,310,-7,0,0
700,300,50,300,722,310,-7,0,0
700,300,50,300,715,310,-7,0,0
700,300,50,300,708,310,-7,0,0
700,300,50,300,701,310,-7,0,0
700,300,50,300,694,310,-7,0,0
700,300,50,300,687,310,-7,0,0
700,300,50,300,680,310,-7,0,0
700,300,50,300,673,310,-7,0,0
700,300,50,300,666,310,-7,0,0
700,300,50,300,659,310,-7,0,0
700,300,50,300,652,310,-7,0,0
700,300,50,300,645,310,-7,0,0
700,300,50,300,638,310,-7,0,0
700,300,50,300,631,310,-7,0,0
700,300,50,300,624,310,-7,0,0
700,300,50,300,617,310,-7,0,0
700,300,50,300,610,310,-7,0,0
700,300,50,300,603,310,-7,0,0
700,300,50,300,596,310,-7,0,0
700,300,50,300,589,310,-7,0,0
700,300,50,300,582,310,-7,0,0
700,300,50,300,575,310,-7,0,0
700,300,50,300,568,310,-7,0,0
700,300,50,300,561,310,-7,0,0
700,300,50,300,554,310,-7,0,0
700,300,50,300,547,310,-7,0,0
700,300,50,300,540,310,-7,0,0
700,300,50,300,533,310,-7,0,0
700,300,50,300,526,310,-7,0,0
700,300,50,300,519,310,-7,0,0
700,300,50,300,512,310,-7,0,0
700,300,50,300,505,310,-7,0,0
700,300,50,300,498,310,-7,0,0
700,300,50,300,491,310,-7,0,0
700,300,50,300,484,310,-7,0,0
700,300,50,300,477,310,-7,0,0
700,300,50,300,470,310,-7,0,0
700,300,50,300,463,310,-7,0,0
700,300,50,300,456,310,-7,0,0
700,300,50,300,449,310,-7,0,0
700,300,50,300,442,310,-7,0,0
700,300,50,300,435,310,-7,0,0
700,300,50,300,428,310,-7,0,0
700,300,50,300,421,310,-7,0,0
700,300,50,300,414,310,-7,0,0
700,300,50,300,407,310,-7,0,0
700,300,50,300,400,310,-7,0,0
700,300,50,300,393,310,-7,0,0
700,300,50,300,386,310,-7,0,0
700,300,50,300,379,310,-7,0,0
700,300,50,300,372,310,-7,0,0
700,300,50,300,365,310,-7,0,0
700,300,50,300,358,310,-7,0,0
700,300,50,300,351,310,-7,0,0
700,300,50,300,344,310,-7,0,0
700,300,50,300,337,310,-7,0,0
700,300,50,300,330,310,-7,0,0
700,300,50,300,323,310,-7,0,0
700,300,50,300,316,310,-7,0,0
700,300,50,300,309,310,-7,0,0
700,300,50,300,302,310,-7,0,0
700,300,50,300,295,310,-7,0,0
700,300,50,300,288,310,-7,0,0
700,300,50,300,281,310,-7,0,0
700,300,50,300,274,310,-7,0,0
700,300,50,300,267,310,-7,0,0
700,300,50,300,260,310,-7,0,0
700,300,50,300,253,310,-7,0,0
700,300,50,300,246,310,-7,0,0
700,300,50,300,239,310,-7,0,0
700,300,50,300,232,310,-7,0,0
700,300,50,300,225,310,-7,0,0
700,300,50,300,218,310,-7,0,0
700,300,50,300,211,310,-7,0,0
700,300,50,300,204,310,-7,0,0
700,300,50,300,197,310,-7,0,0
700,300,50,300,190,310,-7,0,0
700,300,50,300,183,310,-7,0,0
700,300,50,300,176,310,-7,0,0
700,300,50,300,169,310,-7,0,0
700,300,50,300,162,310,-7,0,0
700,300,50,300,155,310,-7,0,0
700,300,50,300,148,310,-7,0,0
700,300,50,300,141,310,-7,0,0
700,300,50,300,134,310,-7,0,0
700,300,50,300,127,310,-7,0,0
700,300,50,300,120,310,-7,0,0
700,300,50,300,113,310,-7,0,0
700,300,50,300,106,310,-7,0,0
700,300,50,300,99,310,-7,0,0
700,300,50,300,92,310,-7,0,0
700,300,50,300,85,310,-7,0,0
700,300,50,300,78,310,-7,0,1
700,300,50,300,71,310,-7,0,1
700,300,50,300,64,310,-7,0,1
700,300,50,300,57,310,-7,0,1
700,300,50,300,50,310,-7,0,1
700,300,50,300,43,310,-7,0,1
700,300,50,300,36,310,-7,0,1
700,300,50,300,29,310,-7,0,0
700,300,50,300,22,310,-7,0,0
700,300,50,300,15,310,-7,0,0
